Date,Visitor,Visitor_Pts,Home,Home_Pts,OT,Playoffs,YR
1979-10-12,New York Knicks,104,Atlanta Hawks,121,0.0,0,1980
1979-10-12,Houston Rockets,106,Boston Celtics,114,0.0,0,1980
1979-10-12,Indiana Pacers,105,Detroit Pistons,114,0.0,0,1980
1979-10-12,Milwaukee Bucks,103,Kansas City Kings,105,0.0,0,1980
1979-10-12,Cleveland Cavaliers,95,New Jersey Nets,102,0.0,0,1980
1979-10-12,Golden State Warriors,89,Phoenix Suns,97,0.0,0,1980
1979-10-12,Utah Jazz,85,Portland Trail Blazers,101,0.0,0,1980
1979-10-12,Los Angeles Lakers,103,San Diego Clippers,102,0.0,0,1980
1979-10-12,Philadelphia 76ers,93,Washington Bullets,92,0.0,0,1980
1979-10-13,Boston Celtics,139,Cleveland Cavaliers,117,0.0,0,1980
1979-10-13,Milwaukee Bucks,125,Denver Nuggets,96,0.0,0,1980
1979-10-13,Chicago Bulls,102,Golden State Warriors,96,1.0,0,1980
1979-10-13,Atlanta Hawks,101,Indiana Pacers,115,0.0,0,1980
1979-10-13,Washington Bullets,118,New York Knicks,125,1.0,0,1980
1979-10-13,Houston Rockets,105,Philadelphia 76ers,113,0.0,0,1980
1979-10-13,Detroit Pistons,112,San Antonio Spurs,110,0.0,0,1980
1979-10-14,Chicago Bulls,102,Phoenix Suns,112,0.0,0,1980
1979-10-14,Denver Nuggets,93,Portland Trail Blazers,109,0.0,0,1980
1979-10-14,Seattle SuperSonics,93,San Diego Clippers,98,0.0,0,1980
1979-10-15,Milwaukee Bucks,131,Utah Jazz,107,0.0,0,1980
1979-10-16,San Antonio Spurs,118,Atlanta Hawks,116,0.0,0,1980
1979-10-16,Detroit Pistons,117,Cleveland Cavaliers,137,0.0,0,1980
1979-10-16,Golden State Warriors,108,Denver Nuggets,106,0.0,0,1980
1979-10-16,New Jersey Nets,100,Indiana Pacers,113,0.0,0,1980
1979-10-16,Chicago Bulls,96,Los Angeles Lakers,105,0.0,0,1980
1979-10-16,Houston Rockets,121,New York Knicks,126,0.0,0,1980
1979-10-16,Seattle SuperSonics,86,Phoenix Suns,102,0.0,0,1980
1979-10-16,San Diego Clippers,81,Portland Trail Blazers,88,0.0,0,1980
1979-10-17,Cleveland Cavaliers,108,Boston Celtics,127,0.0,0,1980
1979-10-17,Indiana Pacers,112,Houston Rockets,116,0.0,0,1980
1979-10-17,Golden State Warriors,107,Kansas City Kings,94,0.0,0,1980
1979-10-17,Denver Nuggets,97,Milwaukee Bucks,125,0.0,0,1980
1979-10-17,Philadelphia 76ers,113,New Jersey Nets,88,0.0,0,1980
1979-10-17,Los Angeles Lakers,110,Seattle SuperSonics,112,0.0,0,1980
1979-10-17,Atlanta Hawks,97,Washington Bullets,100,0.0,0,1980
1979-10-18,Indiana Pacers,85,Atlanta Hawks,115,0.0,0,1980
1979-10-18,San Antonio Spurs,134,Cleveland Cavaliers,141,0.0,0,1980
1979-10-18,New York Knicks,115,Detroit Pistons,129,0.0,0,1980
1979-10-18,Chicago Bulls,107,San Diego Clippers,111,0.0,0,1980
1979-10-18,Portland Trail Blazers,107,Utah Jazz,92,0.0,0,1980
1979-10-19,Washington Bullets,93,Boston Celtics,130,0.0,0,1980
1979-10-19,Kansas City Kings,107,Denver Nuggets,84,0.0,0,1980
1979-10-19,Portland Trail Blazers,99,Los Angeles Lakers,82,0.0,0,1980
1979-10-19,Phoenix Suns,94,Milwaukee Bucks,95,0.0,0,1980
1979-10-19,New York Knicks,111,New Jersey Nets,106,0.0,0,1980
1979-10-19,Detroit Pistons,104,Philadelphia 76ers,112,0.0,0,1980
1979-10-19,San Diego Clippers,98,Seattle SuperSonics,106,0.0,0,1980
1979-10-20,Phoenix Suns,104,Chicago Bulls,116,0.0,0,1980
1979-10-20,Utah Jazz,96,Golden State Warriors,101,0.0,0,1980
1979-10-20,Atlanta Hawks,102,Houston Rockets,107,0.0,0,1980
1979-10-20,Boston Celtics,128,Indiana Pacers,131,1.0,0,1980
1979-10-20,Philadelphia 76ers,136,New York Knicks,111,0.0,0,1980
1979-10-20,Cleveland Cavaliers,127,San Antonio Spurs,129,0.0,0,1980
1979-10-20,Detroit Pistons,106,Washington Bullets,117,0.0,0,1980
1979-10-21,Phoenix Suns,85,Kansas City Kings,122,0.0,0,1980
1979-10-21,Seattle SuperSonics,97,Los Angeles Lakers,106,0.0,0,1980
1979-10-21,Chicago Bulls,111,Milwaukee Bucks,113,0.0,0,1980
1979-10-21,Golden State Warriors,74,Portland Trail Blazers,91,0.0,0,1980
1979-10-22,San Diego Clippers,109,Utah Jazz,110,0.0,0,1980
1979-10-23,New Jersey Nets,103,Chicago Bulls,108,0.0,0,1980
