split_value,g,wins,losses,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_ft,opp_fta,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,fg2,opp_fg2,team,yr,abbrev
Home,41,26,15,41.3,87.2,1.2,4.1,22.0,29.4,13.3,43.0,21.0,7.6,9.3,16.4,21.2,105.8,41.8,90.8,0.7,3.1,19.4,25.5,15.3,45.3,22.8,8.8,5.6,17.0,23.8,103.7,40.099999999999994,41.099999999999994,Washington Bullets,1986,WSB
Visitor,41,13,28,39.5,87.2,1.6,5.8,19.6,26.3,12.7,42.3,21.6,7.7,8.2,15.6,22.6,100.1,42.0,88.7,1.0,3.2,20.8,27.7,15.1,48.3,26.3,8.6,5.4,15.7,22.7,105.9,37.9,41.0,Washington Bullets,1986,WSB
Home,41,31,10,42.5,86.3,0.5,2.6,26.9,35.5,16.8,46.2,27.1,11.4,7.3,18.4,21.5,112.4,44.3,90.1,0.9,3.7,18.2,24.3,15.2,42.2,28.0,9.2,5.6,19.2,27.1,107.8,42.0,43.4,Philadelphia 76ers,1986,PHI
Visitor,41,23,18,41.3,85.9,0.7,2.8,25.0,33.0,15.6,44.1,22.1,9.6,4.7,19.5,22.4,108.4,43.8,88.6,1.1,3.1,19.5,25.5,13.8,41.1,27.0,10.3,5.9,17.3,26.2,108.2,40.599999999999994,42.699999999999996,Philadelphia 76ers,1986,PHI
Home,41,40,1,46.8,90.6,1.8,4.9,22.9,28.3,13.3,46.4,29.7,8.2,6.9,16.2,20.6,118.3,42.6,92.7,0.9,3.7,19.2,25.8,13.6,40.9,22.9,9.2,3.7,15.8,24.5,105.3,45.0,41.7,Boston Celtics,1986,BOS
Visitor,41,27,14,43.9,87.7,1.5,4.7,20.6,26.5,12.5,46.4,28.3,7.4,5.6,16.3,22.3,110.0,41.4,89.7,1.1,3.7,20.3,27.0,13.0,42.2,24.0,8.4,4.6,14.1,23.4,104.2,42.4,40.3,Boston Celtics,1986,BOS
Home,41,26,15,43.8,87.4,0.4,2.2,23.6,30.8,14.0,45.6,25.0,9.5,4.7,19.2,25.3,111.6,42.5,87.7,1.4,4.3,22.7,29.5,12.2,39.4,21.7,9.5,3.5,18.1,25.4,109.0,43.4,41.1,New Jersey Nets,1986,NJN
Visitor,41,13,28,42.8,90.7,0.6,3.0,20.5,27.7,14.9,43.8,26.9,8.8,3.8,18.6,26.6,106.7,43.0,86.0,1.0,3.4,26.2,34.5,13.1,43.6,27.5,9.6,6.0,18.2,23.4,113.2,42.199999999999996,42.0,New Jersey Nets,1986,NJN
Home,41,15,26,40.5,86.6,1.2,3.2,18.3,26.8,12.8,41.1,25.3,9.0,4.0,18.1,26.7,100.5,38.2,81.6,0.8,3.5,25.2,33.1,14.3,45.5,23.7,8.9,4.6,19.9,25.1,102.5,39.3,37.400000000000006,New York Knicks,1986,NYK
Visitor,41,8,33,38.5,85.0,0.8,2.6,19.1,27.7,13.5,38.2,20.5,8.3,3.5,16.2,27.2,97.0,39.6,81.0,0.9,3.2,26.0,33.8,14.1,46.0,25.3,8.1,6.3,18.2,24.1,106.1,37.7,38.7,New York Knicks,1986,NYK
Home,41,34,7,44.0,86.7,0.4,1.7,24.0,32.5,16.0,46.6,27.0,9.2,5.9,16.9,25.0,112.4,40.7,86.5,1.3,3.6,21.9,28.8,15.1,42.9,22.2,8.6,3.7,18.1,25.6,104.6,43.6,39.400000000000006,Atlanta Hawks,1986,ATL
Visitor,41,16,25,40.1,84.7,0.4,2.4,24.3,33.4,14.3,42.5,22.4,8.7,4.7,18.1,27.9,104.8,41.2,86.0,0.9,3.3,24.6,32.3,14.4,43.2,25.2,8.4,5.3,17.9,26.3,107.9,39.7,40.300000000000004,Atlanta Hawks,1986,ATL
