Round,Winner,Loser,Games,YR
Finals,Boston Celtics,Houston Rockets,6,1986
Eastern Conference Finals,Boston Celtics,Milwaukee Bucks,4,1986
Western Conference Finals,Houston Rockets,Los Angeles Lakers,5,1986
Eastern Conference Semifinals,Boston Celtics,Atlanta Hawks,5,1986
Eastern Conference Semifinals,Milwaukee Bucks,Philadelphia 76ers,7,1986
Western Conference Semifinals,Houston Rockets,Denver Nuggets,6,1986
Western Conference Semifinals,Los Angeles Lakers,Dallas Mavericks,6,1986
Eastern Conference First Round,Atlanta Hawks,Detroit Pistons,4,1986
Eastern Conference First Round,Boston Celtics,Chicago Bulls,3,1986
Eastern Conference First Round,Milwaukee Bucks,New Jersey Nets,3,1986
Eastern Conference First Round,Philadelphia 76ers,Washington Bullets,5,1986
Western Conference First Round,Dallas Mavericks,Utah Jazz,4,1986
Western Conference First Round,Denver Nuggets,Portland Trail Blazers,4,1986
Western Conference First Round,Houston Rockets,Sacramento Kings,3,1986
Western Conference First Round,Los Angeles Lakers,San Antonio Spurs,3,1986
Finals,Los Angeles Lakers,Detroit Pistons,7,1988
Eastern Conference Finals,Detroit Pistons,Boston Celtics,6,1988
Western Conference Finals,Los Angeles Lakers,Dallas Mavericks,7,1988
Eastern Conference Semifinals,Boston Celtics,Atlanta Hawks,7,1988
Eastern Conference Semifinals,Detroit Pistons,Chicago Bulls,5,1988
Western Conference Semifinals,Dallas Mavericks,Denver Nuggets,6,1988
Western Conference Semifinals,Los Angeles Lakers,Utah Jazz,7,1988
Eastern Conference First Round,Atlanta Hawks,Milwaukee Bucks,5,1988
Eastern Conference First Round,Boston Celtics,New York Knicks,4,1988
Eastern Conference First Round,Chicago Bulls,Cleveland Cavaliers,5,1988
Eastern Conference First Round,Detroit Pistons,Washington Bullets,5,1988
Western Conference First Round,Dallas Mavericks,Houston Rockets,4,1988
Western Conference First Round,Denver Nuggets,Seattle SuperSonics,5,1988
Western Conference First Round,Los Angeles Lakers,San Antonio Spurs,3,1988
Western Conference First Round,Utah Jazz,Portland Trail Blazers,4,1988
Finals,Detroit Pistons,Los Angeles Lakers,4,1989
Eastern Conference Finals,Detroit Pistons,Chicago Bulls,6,1989
Western Conference Finals,Los Angeles Lakers,Phoenix Suns,4,1989
Eastern Conference Semifinals,Chicago Bulls,New York Knicks,6,1989
Eastern Conference Semifinals,Detroit Pistons,Milwaukee Bucks,4,1989
Western Conference Semifinals,Los Angeles Lakers,Seattle SuperSonics,4,1989
Western Conference Semifinals,Phoenix Suns,Golden State Warriors,5,1989
Eastern Conference First Round,Chicago Bulls,Cleveland Cavaliers,5,1989
Eastern Conference First Round,Detroit Pistons,Boston Celtics,3,1989
Eastern Conference First Round,Milwaukee Bucks,Atlanta Hawks,5,1989
Eastern Conference First Round,New York Knicks,Philadelphia 76ers,3,1989
Western Conference First Round,Golden State Warriors,Utah Jazz,3,1989
Western Conference First Round,Los Angeles Lakers,Portland Trail Blazers,3,1989
Western Conference First Round,Phoenix Suns,Denver Nuggets,3,1989
Western Conference First Round,Seattle SuperSonics,Houston Rockets,4,1989
Finals,Los Angeles Lakers,Boston Celtics,6,1985
Eastern Conference Finals,Boston Celtics,Philadelphia 76ers,5,1985
Western Conference Finals,Los Angeles Lakers,Denver Nuggets,5,1985
Eastern Conference Semifinals,Boston Celtics,Detroit Pistons,6,1985
Eastern Conference Semifinals,Philadelphia 76ers,Milwaukee Bucks,4,1985
Western Conference Semifinals,Denver Nuggets,Utah Jazz,5,1985
Western Conference Semifinals,Los Angeles Lakers,Portland Trail Blazers,5,1985
Eastern Conference First Round,Boston Celtics,Cleveland Cavaliers,4,1985
Eastern Conference First Round,Detroit Pistons,New Jersey Nets,3,1985
Eastern Conference First Round,Milwaukee Bucks,Chicago Bulls,4,1985
Eastern Conference First Round,Philadelphia 76ers,Washington Bullets,4,1985
Western Conference First Round,Denver Nuggets,San Antonio Spurs,5,1985
Western Conference First Round,Los Angeles Lakers,Phoenix Suns,3,1985
Western Conference First Round,Portland Trail Blazers,Dallas Mavericks,4,1985
Western Conference First Round,Utah Jazz,Houston Rockets,5,1985
Finals,Los Angeles Lakers,Boston Celtics,6,1987
Eastern Conference Finals,Boston Celtics,Detroit Pistons,7,1987
Western Conference Finals,Los Angeles Lakers,Seattle SuperSonics,4,1987
