Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YR
1,Denver Nuggets,82,19955,41.5,87.2,0.475,0.3,1.6,0.207,41.1,85.6,0.48,26.2,33.4,0.7829999999999999,14.5,27.4,41.9,22.2,7.9,4.2,15.8,23.1,109.4,1981
2,Milwaukee Bucks,82,19755,43.6,87.6,0.498,0.4,1.5,0.22899999999999998,43.3,86.1,0.503,21.1,27.4,0.77,14.8,28.2,43.0,27.2,10.1,6.2,18.5,25.8,108.7,1981
3,San Antonio Spurs,82,19805,42.1,85.7,0.491,0.2,1.0,0.17600000000000002,41.9,84.7,0.495,24.2,31.4,0.769,15.4,30.4,45.8,24.1,8.1,7.6,18.1,24.9,108.5,1981
4,Philadelphia 76ers,82,19855,42.5,82.7,0.514,0.2,1.0,0.226,42.3,81.7,0.518,21.8,28.4,0.768,12.8,30.6,43.4,27.7,10.0,6.9,19.9,24.1,107.0,1981
5,Los Angeles Lakers,82,19805,44.6,87.1,0.512,0.2,1.1,0.18100000000000002,44.4,86.0,0.516,18.2,24.9,0.7290000000000001,13.7,29.4,43.1,27.9,9.5,6.5,18.4,23.1,107.6,1981
6,Portland Trail Blazers,82,19855,43.9,88.4,0.496,0.3,1.7,0.16899999999999998,43.6,86.7,0.503,18.5,25.7,0.718,14.6,28.0,42.6,26.3,9.0,5.6,17.8,23.9,106.5,1981
7,Phoenix Suns,82,19755,41.6,85.0,0.49,0.4,1.9,0.217,41.2,83.1,0.496,21.0,28.2,0.745,14.3,28.9,43.2,25.6,10.2,4.8,20.1,23.2,104.6,1981
8,Boston Celtics,82,19780,43.1,85.5,0.504,0.8,2.9,0.27,42.3,82.6,0.513,21.4,28.5,0.752,13.9,29.2,43.1,26.5,8.2,7.2,19.0,24.0,108.4,1981
9,Golden State Warriors,82,19730,42.9,87.8,0.489,0.7,2.5,0.28600000000000003,42.2,85.2,0.495,22.0,30.3,0.727,16.9,28.5,45.4,24.4,7.4,3.6,18.6,26.0,108.5,1981
10,Chicago Bulls,82,19780,41.7,83.2,0.501,0.5,2.2,0.212,41.2,81.1,0.508,23.9,30.9,0.774,14.8,29.8,44.6,23.2,8.8,6.2,20.2,24.8,107.8,1981
